filename,region,genotype,seedling,zslice,total_area,integrated_intensity,mean_intensity
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z27c1.tif,meristem,control,13,27,62097.0,163806.0,2.637905212812213
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling13_meristem/h2b-istl345_normal_11_seedling13_meristem_z28c1.tif,meristem,control,13,28,63210.0,157901.0,2.4980382850814746
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z01c1.tif,meristem,control,14,1,152952.0,545989.0,3.56967545373712
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z02c1.tif,meristem,control,14,2,174775.0,637781.0,3.6491546273780573
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z03c1.tif,meristem,control,14,3,195670.0,708856.0,3.622711708488782
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z04c1.tif,meristem,control,14,4,152808.0,780882.0,5.110216742578922
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z05c1.tif,meristem,control,14,5,159948.0,860143.0,5.377641483482131
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z06c1.tif,meristem,control,14,6,102999.0,841835.0,8.173234691598948
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z07c1.tif,meristem,control,14,7,110572.0,845855.0,7.649811887277068
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z08c1.tif,meristem,control,14,8,106068.0,837150.0,7.892578345966738
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z09c1.tif,meristem,control,14,9,84442.0,771881.0,9.140960659387508
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z10c1.tif,meristem,control,14,10,74535.0,772730.0,10.367344200711075
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z11c1.tif,meristem,control,14,11,92799.0,742913.0,8.005614284636687
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z12c1.tif,meristem,control,14,12,129918.0,585119.0,4.503756215458981
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z13c1.tif,meristem,control,14,13,106725.0,566403.0,5.3071257905832745
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z14c1.tif,meristem,control,14,14,99328.0,557232.0,5.610019329896907
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z15c1.tif,meristem,control,14,15,97609.0,488547.0,5.005142968373818
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z16c1.tif,meristem,control,14,16,120357.0,451402.0,3.7505255199115966
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z17c1.tif,meristem,control,14,17,74612.0,316383.0,4.2403768830751085
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z18c1.tif,meristem,control,14,18,103844.0,336439.0,3.2398501598551674
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z19c1.tif,meristem,control,14,19,74188.0,239472.0,3.227907478298377
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z20c1.tif,meristem,control,14,20,52744.0,230544.0,4.37099954497194
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z21c1.tif,meristem,control,14,21,78829.0,483532.0,6.133935480597242
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z22c1.tif,meristem,control,14,22,66014.0,495086.0,7.499712182264368
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z23c1.tif,meristem,control,14,23,122281.0,652499.0,5.336062021082588
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z24c1.tif,meristem,control,14,24,106576.0,679565.0,6.376341765500675
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z25c1.tif,meristem,control,14,25,102596.0,647980.0,6.315840773519436
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z26c1.tif,meristem,control,14,26,98878.0,663914.0,6.714476425494043
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z27c1.tif,meristem,control,14,27,120807.0,674262.0,5.581315652238695
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/control_meristem_zone/h2b-istl345_normal_11_seedling14_meristem/h2b-istl345_normal_11_seedling14_meristem_z28c1.tif,meristem,control,14,28,118014.0,699470.0,5.927008659989493
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z01c1.tif,meristem,mutant,1,1,114924.0,921645.0,8.019604260206746
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z02c1.tif,meristem,mutant,1,2,115091.0,913044.0,7.933235439782433
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z03c1.tif,meristem,mutant,1,3,112419.0,935346.0,8.320177194246524
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z04c1.tif,meristem,mutant,1,4,109923.0,933916.0,8.496092719449068
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z05c1.tif,meristem,mutant,1,5,113185.0,892526.0,7.885550205415912
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z06c1.tif,meristem,mutant,1,6,121807.0,920945.0,7.560690272316041
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z07c1.tif,meristem,mutant,1,7,122641.0,943437.0,7.692672108022602
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z08c1.tif,meristem,mutant,1,8,119786.0,915314.0,7.641243550999282
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z09c1.tif,meristem,mutant,1,9,126279.0,926781.0,7.339153778537999
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z10c1.tif,meristem,mutant,1,10,112068.0,928779.0,8.287637862726202
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z11c1.tif,meristem,mutant,1,11,121148.0,912028.0,7.528213424901773
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z12c1.tif,meristem,mutant,1,12,138469.0,986111.0,7.121529006492428
/Users/hydrablaster/Desktop/Otegui_lab/mCherry_H2B_istl_mutant/individual_images/istl_mutant_meristem_zone/h2b-istl345_11_seedling1_meristem_2/h2b-istl345_11_seedling1_meristem_2_z13c1.tif,meristem,mutant,1,13,142814.0,1006105.0,7.044862548489644
